objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7915,W05000143,Pentre Mawr,Pentre Mawr,294008,378078,-3.59148002,53.28905106,1659197.01512697,6209.91589398169
7916,W05000144,Rhiw,Rhiw,284246,378276,-3.73792005,53.28878021,4905118.94094439,14100.2040655533
7917,W05000145,Towyn,Tywyn,297384,378586,-3.54101992,53.29428101,5666700.08836254,10406.7053247507
7918,W05000146,Trefriw,Trefriw,275220,363229,-3.86736012,53.15155029,52750031.4510849,40873.7407118128
7919,W05000148,Uwch Conwy,Uwch Conwy,280446,350219,-3.78441,53.03585815,177096011.49502,73656.6017449723
7920,W05000149,Uwchaled,Uwchaled,294583,349077,-3.57329011,53.02856827,129145665.437986,66741.6484764787
7921,W05000150,Bodelwyddan,Bodelwyddan,300655,376540,-3.49131989,53.27650833,16683660.8474222,23759.392328139
7922,W05000151,Corwen,Corwen,312373,343011,-3.30646992,52.97726822,69567969.9793238,54092.7502343021
7923,W05000152,Denbigh Central,Dinbych - Canol,305422,366232,-3.41679001,53.18476105,1073744.83711168,5562.09412011427
7924,W05000153,Denbigh Lower,Dinbych-Isaf,307019,367196,-3.39317989,53.19369888,17415397.0634641,21232.5316501473
7925,W05000154,Denbigh Upper/Henllan,Dinbych Uchaf/Henllan,303660,366569,-3.44324994,53.18746948,17521389.9829467,22261.9029965077
7926,W05000155,Dyserth,Diserth,306078,379716,-3.41095996,53.30604172,6394904.30810928,16454.4136419388
7927,W05000156,Efenechtyd,Efenechdyd,306086,351759,-3.40262008,53.05482101,73658648.3847854,55462.0113800036
7928,W05000157,Llanarmon-yn-Ial/Llandegla,Llanarmon-yn-Iâl/Llandegla,320182,355445,-3.19327998,53.09024048,85420692.5208332,54726.2455631629
7929,W05000158,Llanbedr Dyffryn Clwyd/Llangynhafal,Llanbedr Dyffryn Clwyd/Llangynhafal,314263,361418,-3.28323007,53.14299011,28380847.6122447,31271.6298628263
7930,W05000159,Llandrillo,Llandrillo,305821,337407,-3.40237999,52.92578888,92468020.9606196,46515.4390545427
7931,W05000160,Llandyrnog,Llandyrnog,310808,364939,-3.33585,53.17406845,46033238.6069013,51558.5746403462
7932,W05000161,Llanfair Dyffryn Clwyd/Gwyddelwern,Llanfair Dyffryn Clwyd/Gwyddelwern,311652,349637,-3.31902003,53.0367012,93537874.5734629,61114.6464475066
7933,W05000162,Llangollen,Llangollen,321423,343994,-3.17196012,52.98751068,60166982.0875111,43016.6836284053
7934,W05000163,Llanrhaeadr-yng-Nghinmeirch,Llanrhaeadr-yng-Nghinmeirch,301419,359313,-3.47454,53.1218605,110957815.999101,69620.4426444976
7935,W05000164,Prestatyn Central,Prestatyn - Canol,306548,382207,-3.40463996,53.32851028,1530283.05213945,6318.94176462984
7936,W05000165,Prestatyn East,Prestatyn - Dwyrain,307775,383040,-3.38647008,53.33620834,5727542.54570139,11588.2668611888
7937,W05000166,Prestatyn Meliden,Prestatyn Allt Melyd,306329,381082,-3.40759993,53.31835938,1574419.00997748,7108.25186997724
7938,W05000167,Prestatyn North,Prestatyn - Gogledd,305283,383033,-3.4238801,53.33570862,1852147.89559217,6653.45829474012
7939,W05000168,Prestatyn South West,Prestatyn - De Orllewin,304847,381564,-3.42998004,53.32242966,2561158.09259277,8181.28778658618
7940,W05000169,Rhuddlan,Rhuddlan,303022,378504,-3.45642996,53.29460144,9761290.26488855,22166.6032686477
7941,W05000170,Rhyl East,Rhyl - Dwyrain,302163,382098,-3.4704299,53.32674026,1700300.95973208,7471.11500714996
7942,W05000171,Rhyl South,Rhyl - De,301767,379688,-3.47562003,53.30501175,2819249.96082556,9322.31815347883
7943,W05000172,Rhyl South East,Rhyl - De Ddwyrain,303188,381214,-3.45477009,53.31898117,3746191.4030376,11243.6903962857
7944,W05000173,Rhyl South West,Rhyl - De-Orllewin,300827,380489,-3.48997998,53.31203079,1838247.41750423,8591.71739658046
7945,W05000174,Rhyl West,Rhyl - Gorllewin,300426,381111,-3.49619007,53.31755066,1077781.68547206,5328.82205922536
7946,W05000175,Ruthin,Rhuthun,312075,357928,-3.31498003,53.1112709,8175401.10130985,17107.8469545327
7947,W05000176,St. Asaph East,Llanelwy - Dwyrain,304180,373799,-3.43764997,53.25252914,3672034.27576189,13276.1444496489
7948,W05000177,St. Asaph West,Llanelwy - Gorllewin,302851,374223,-3.45769,53.2560997,2774118.12949556,9632.77142757748
7949,W05000178,Trefnant,Trefnant,303928,371161,-3.44062996,53.22877884,25521192.5624404,36406.9099397132
7950,W05000179,Tremeirchion,Tremeirchion,307541,374977,-3.38762999,53.26371002,44931725.3779017,41767.3917419881
7951,W05000180,Argoed,Argoed,326131,363531,-3.10632992,53.16376877,3594308.33847811,10907.5682181283
7952,W05000181,Aston,Aston,329928,367421,-3.05040002,53.19924164,3384422.23666393,11184.885075265
7953,W05000182,Bagillt East,Bagillt - Dwyrain,322463,374321,-3.16381001,53.26020813,3442013.1674001,9207.33233679918
7954,W05000183,Bagillt West,Bagillt - Gorllewin,320903,375441,-3.18746996,53.27005005,6155076.65000095,13438.7128564878
7955,W05000186,Brynford,Brynffordd,318178,373746,-3.22788,53.25439835,12063548.5967395,20706.7805754987
7956,W05000187,Buckley Bistre East,Bwcle Dwyrain Bistre,328576,362898,-3.06962991,53.15840912,3154993.20327077,8406.63651890242
7957,W05000188,Buckley Bistre West,Bwcle Gorllewin Bistre,327175,363414,-3.0906899,53.16286087,1374239.34395674,5627.0962553619
7958,W05000189,Buckley Mountain,Mynydd Bwcle,327364,365483,-3.08834004,53.18148041,3522982.54157801,10599.3458295898
7959,W05000190,Buckley Pentrobin,Bwcle Pontrobin,328810,364541,-3.06648993,53.17321014,2539459.39101658,7310.82578047295
7960,W05000191,Caergwrle,Caergwrle,330548,357432,-3.03894997,53.10955048,1164660.69046523,5670.55069451723
7961,W05000192,Caerwys,Caerwys,315577,371630,-3.26629996,53.23498154,37346312.0829381,38851.9572047764
7962,W05000193,Cilcain,Cilcain,317655,366040,-3.23373008,53.18507004,39876179.937657,37860.0205512179
7963,W05000194,Connah's Quay Central,Cei Connah - Canol,330129,371676,-3.04833007,53.23751068,3740153.92691428,12724.9595945825
7964,W05000195,Connah's Quay Golftyn,Cei Connah - Golftyn,327852,370083,-3.08207989,53.22288895,8349896.38944534,32035.3838946627
7965,W05000196,Connah's Quay South,Cei Connah - De,328395,368393,-3.07357001,53.2077713,2570205.78531574,8284.71241109764
